word,frequency
pikachu,1
rgp,1
xaropes,1
saborisados,1
clara,1
ovo,1
aqua,1
fava,1
mistura,1
espuma,1
lion,1
monte,1
kkkkkkkkkkkjjjjjk,1
sensível,1
entao,1
divertido,1
entendendo,1
avisei,1
abnt,1
tantas,1
bullynando,1
calculando,1
triste,1
irie,1
computando,1
dados,1
instaneamente,1
tabuada,1
gostando,1
jogaço,1
braba,1
divertindo,1
contos,1
catan,1
injogavel,1
peca,1
faltando,1
compra,1
premio,1
datathon,1
hahahahah,1
escrevi,1
corrigido,1
sonhando,1
fone,1
senhora,1
ganhamo,1
fechada,1
sss,1
repente,1
prato,1
ima,1
pft,1
mix,1
pensa,1
popzaço,1
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
jkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
musicas,1
escolhi,1
snow,1
deste,1
outubro,1
explicar,1
florence,1
expectativa,1
altissma,1
fav,1
chocada,1
duvido,1
marketing,1
exclusivo,1
vinil,1
vazaram,1
anunciados,1
lançamento,1
arrepiada,1
doida,1
precisando,1
encanador,1
akakakakkaaka,1
patrocinador,1
video,1
curti,1
enxugado,1
duplo,1
depressão,1
mil,1
defeito,1
misseszinhas,1
maioral,1
específicas,1
quadrado,1
ouv7,1
changing,1
that,1
existed,1
superou,1
opening,1
carinho,1
amargurado,1
ouvimo,1
escola,1
percebi,1
jsus,1
death,1
thousand,1
cuts,1
supremas,1
ext,1
lembre,1
fizesse,1
inteiro,1
estilo,1
suprema,1
maiorais,1
title,1
boaszinhas,1
decepcao,1
vida,1
instant,1
kkkkkkkkkkkkkkkkkkkkkkkkk,1
degrau,1
abaixo,1
conhecia,1
termo,1
colocaria,1
mano,1
dessas,1
cornélia,1
futuramente,1
tierlists,1
tempão,1
albums,1
imagina,1
votação,1
automaticamente,1
refazer,1
suficientemente,1
amado,1
surto,1
surreal,1
burro,1
typo,1
ouça,1
version,1
engrandece,1
till,1
down,1
perfeita,1
subestimada,1
maiorial,1
canetou,1
clássica,1
instantânea,1
erra,1
dmais,1
concordar,1
alma,1
clean,1
naoooooo,1
had,1
was,1
stay,1
caçula,1
dizendo,1
poxa,1
versos,1
tracks,1
sepa,1
encerra,1
perfeitamente,1
swiftie,1
fortissima,1
preferida,1
analisando,1
apenas,1
mineira,1
sob,1
logica,1
introduz,1
equilibiro,1
welcome,1
albim,1
tracklist,1
reorganizada,1
escanteio,1
pimba,1
long,1
identifico,1
termino,1
tido,1
faça,1
man,1
cidades,1
citadas,1
formam,1
mapa,1
tchauuuuu,1
separando,1
lore,1
baixo,1
bob,1
esponja,1
teatro,1
selena,1
casou,1
benny,1
eufemismo,1
casamento,1
destruir,1
poe,1
aaron,1
kkkkakkkakkkkakkkkakkk,1
voluntario,1
tributo,1
considero,1
traição,1
homem,1
sofreu,1
lavagem,1
cerebral,1
esposa,1
resgatado,1
mulher,1
surra,1
discussão,1
mencionar,1
wouldve,1
couldve,1
shouldve,1
canetadas,1
maroon,1
give,1
back,1
girlhood,1
high,1
infidelity,1
versao,1
reitero,1
versão,1
agradável,1
bejeweld,1
mastermind,1
labyrinth,1
regular,1
paris,1
horroroso,1
acrescentou,1
dear,1
reader,1
esqueço,1
spice,1
scateira,1
maluca,1
tocanna,1
dor,1
whole,1
merecem,1
trocaria,1
wvcvsv,1
tgw,1
abreviacao,1
style,1
belong,1
with,1
favorita,1
antigas,1
paper,1
rings,1
escaparei,1
indiretas,1
compartilhado,1
tocar,1
encontros,1
blank,1
space,1
acirrado,1
taylors,1
imbativel,1
paty,1
kkkakkakkkkkakkakllakkkkkakkk,1
porrrr,1
lkkkkkkkkkkkkk,1
yeppp,1
enjoei,1
dali,1
jogaria,1
ahahhahah,1
indireta,1
vivo,1
pressa,1
admiro,1
diva,1
década,1
father,1
figure,1
início,1
destacaram,1
passei,1
madrugada,1
agitadas,1
road,1
trip,1
canton,1
explica,1
melhorou,1
escutada,1
review,1
necessário,1
intimista,1
prefere,1
pop,1
definitivamente,1
skip,1
iconicas,1
satisfeita,1
medoooooooo,1
irem,1
ruins,1
nota,1
lyrics,1
pesquisando,1
brevemente,1
contextos,1
pretendo,1
aprofundar,1
pesquisas,1
romântica,1
hahahaaha,1
dark,1
fantasy,1
tchan,1
monster,1
nicki,1
kanye,1
inocentado,1
produziu,1
american,1
doses,1
respeito,1
entregou,1
tropa,1
orient,1
express,1
vibes,1
definir,1
game,1
luiza,1
arthur,1
vale,1
zap,1
conferir,1
quente,1
tnm,1
mundos,1
adaptada,1
tempos,1
ganha,1
200reais,1
inteira,1
hmmmmm,1
lucro,1
perguntada,1
gourmet,1
propaganda,1
enganosa,1
combinariam,1
hahahhah,1
pedaços,1
fita,1
isolante,1
thor,1
barril,1
loo,1
velma,1
live,1
action,1
energy,1
jhonny,1
fogão,1
copos,1
pratos,1
vantagem,1
biscoito,1
fecho,1
endereco,1
bptem,1
praça,1
antônio,1
callado,1
stella,1
vita,1
curiosa,1
abobora,1
botado,1
momo,1
tbb,1
restaurantezinho,1
viajando,1
máquina,1
karaokê,1
topk,1
precinho,1
saturado,1
mistério,1
dissonante,1
tema,1
fizerem,1
canta,1
temas,1
hater,1
legenda,1
som,1
dxar,1
microfone,1
dava,1
reciclagem,1
buzios,1
basear,1
preso,1
listou,1
trocar,1
ler,1
ficha,1
ajudo,1
ajustes,1
personagem,1
extra,1
somar,1
dificuldade,1
topp,1
defesa,1
curtas,1
terror,1
sinistros,1
condenar,1
culpado,1
independente,1
achp,1
odeia,1
considerar,1
ajustado,1
motivos,1
salg,1
fermentado,1
troquei,1
verdade,1
certa,1
sugere,1
próximos,1
preferência,1
italiana,1
bolo,1
preferências,1
risco,1
contaminação,1
refris,1
últimos,1
pronunciamos,1
ficamos,1
disposição,1
salgados,1
tanta,1
rebuscado,1
abrindo,1
latinha,1
água,1
tônica,1
decepcionante,1
bonitinho,1
verde,1
fofaaaaa,1
trabalham,1
vim,1
carrinho,1
segregação,1
grtas,1
lemaxdizio,1
kkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
ahahhahahaha,1
mario,1
maker,1
animal,1
crossing,1
smash,1
bros,1
convidada,1
comecar,1
rebeliao,1
toparia,1
shape,1
snorlax,1
est,1
garantido,1
oakakakakwkwkwkwkw,1
ahhahahahahhahahaha,1
exagarar,1
acad,1
virar,1
maromba,1
viciado,1
jiu-jiteiro,1
bucal,1
esquece,1
orelha,1
convence,1
namo,1
crio,1
uso,1
lkkk,1
prevejo,1
desencalhar,1
placa,1
modelo,1
nissan,1
march,1
lqs9d73,1
trânsito,1
calmo,1
relação,1
zona,1
tenso,1
parado,1
ayrton,1
senna,1
bloqueada,1
liberou,1
fecham,1
abrem,1
cacetada,1
rocinha,1
guys,1
suspendeu,1
atividades,1
boatos,1
ufrj,1
cancelou,1
caceta,1
professora,1
senso,1
cancelar,1
sofrendo,1
maré,1
começado,1
alemão,1
penha,1
disseminando,1
colocaram,1
elevado,1
joá,1
pegou,1
qrr,1
propósito,1
atrasadinha,1
trampo,1
termina,1
ralo,1
18h40,1
max,1
plebiscito,1
fecha,1
lkkkkkkkk,1
atraso,1
kakakakakaka,1
mudei,1
sabores,1
caraleooooooo,1
bolso,1
pizzaria,1
sera,1
pagou,1
interessado,1
ingresso,1
dua,1
lipa,1
cadeira,1
superior,1
falado,1
resp,1
professor,1
particular,1
química,1
ensino,1
manter,1
tradição,1
marcando,1
boassa,1
decidimo,1
preparo,1
gorro,1
frete,1
shein,1
apertado,1
viaja,1
combinar,1
sabemo,1
formado,1
psicologia,1
fznd,1
teja,1
black,1
friday,1
genia,1
abril,1
kkkkmm,1
visitando,1
complicado,1
igual,1
biobd,1
pagando,1
coto,1
rupias,1
ganho,1
bolsa,1
cientista,1
academia,1
pesos,1
argentinos,1
peidona,1
casais,1
tiraram,1
contando,1
sabíamos,1
contra,1
neutro,1
comentando,1
tira,1
forçar,1
quebrar,1
subgrupo,1
transportado,1
longínquo,1
estruturas,1
discretas,1
penso,1
associar,1
aleatoriamente,1
botar,1
enviar,1
slide,1
presos,1
infinito,1
loucura,1
kkkakkkakkkkkakakakk,1
acidente,1
perdoado,1
botoes,1
mouse,1
cuspo,1
aleatorias,1
python,1
json,1
pica,1
suporte,1
mandem,1
emails,1
thiagobeckerrocha,1
lista_circular,1
precisar,1
poupar,1
carolfgermano,1
carolinasimas202,1
rafaelpmeirelles,1
bfa0103,1
cai,1
michaelthefear,1
grato,1
facilitarem,1
mensalmente,1
programado,1
desejos,1
secretos,1
vejam,1
complicando,1
preencheram,1
preenchendo,1
rever,1
sorteei,1
terminar,1
codigo,1
api,1
sorteeiiiiiiii,1
roda,1
rest,1
power,1
varios,1
rolou,1
cloudfire,1
gpt,1
amem,1
hauqhha,1
hehehehehe,1
encarecidamente,1
cebolinha,1
cheirando,1
tempero,1
agradeço,1
compreensao,1
baita,1
fragância,1
peefume,1
cascão,1
viajei,1
stalkear,1
mnd,1
moda,1
sofrem,1
vacilo,1
basta,1
namorar,1
garotos,1
levando,1
twitter,1
cérebro,1
peculiar,1
proporia,1
puderem,1
sábados,1
toquei,1
ocupados,1
preocupação,1
seguinte,1
musa,1
direita,1
combinado,1
hauqhjskqjjsj,1
confuso,1
marquei,1
buguei,1
formato,1
aaaa,1
parando,1
pensar,1
propositalmente,1
propor,1
aleatória,1
estranho,1
esqueceram,1
contigo,1
kkkakkkakkkakkkakkk,1
significa,1
abandonando,1
atravessar,1
ponte,1
fofos,1
ótimooooo,1
prezadas,1
maneirinho,1
logar,1
golpe,1
canalha,1
aprontando,1
funcionou,1
oras,1
bolas,1
interessante,1
precisamo,1
negocio,1
mocellin,1
datas,1
podemt,1
naquela,1
salinha,1
jacarepaguanos,1
unidos,1
serao,1
vencidos,1
ceu,1
conrado,1
olimpica,1
misto,1
aberto,1
profunda,1
parecido,1
olímpica,1
bot,1
diazão,1
samurai,1
natalllll,1
nataaaaal,1
hohohooo,1
copypasta,1
desejar,1
próspero,1
prontas,1
desejo,1
agradecer,1
participei,1
conquistas,1
ahahahhahahahahahaha,1
queridossssss,1
precisamooo,1
beiradinhas,1
yep,1
adiantada,1
uhu,1
novembro,1
chagar,1
achado,1
poooooo,1
blackkk,1
sku,1
clt,1
filha,1
decorando,1
feriados,1
divo,1
heheheh,1
graduação,1
inveja,1
8h30,1
reclama,1
piora,1
peguei,1
recesso,1
contrário,1
reclamar,1
excelente,1
reclamação,1
aproveita,1
genteee,1
frente,1
breve,1
relaxou,1
rolar,1
codenames,1
arduino,1
partes,1
certas,1
eletrônica,1
robô,1
bicho,1
plmdd,1
kkllkkkjjj,1
precisam,1
ameaça,1
milênio,1
tentam,1
calar,1
genialidade,1
acanhe,1
empatou,1
pronto,1
filipe,1
tia,1
erika,1
hahaha,1
antissocial,1
futvôlei,1
arrumo,1
over,1
ferra,1
nmkkkk,1
paguei,1
lingua,1
podendo,1
musicao,1
ameiiiii,1
votando,1
espalhando,1
fake,1
supervisor,1
pesquisei,1
santo,1
seb,1
íntima,1
contasse,1
tbmmmm,1
galeraaa,1
demaaaaaais,1
bao,1
conheco,1
público,1
parente,1
cavalo,1
vegetal,1
code,1
names,1
montou,1
postit,1
post,1
menorzinho,1
kalunga,1
postits,1
etiquetas,1
etiquetadora,1
uai,1
15h,1
pod,1
preferia,1
okkk,1
amadissimos,1
amadissimas,1
passadinha,1
coquinha,1
petisquinhos,1
topooooo,1
dividir,1
animadah,1
ficam,1
realizar,1
terapia,1
petisquinho,1
lays,1
acumulado,1
cachaçar,1
acompanhe,1
putss,1
item,1
essencial,1
lar,1
kit,1
bebendo,1
esforço,1
