word,frequency
edu,3
usa,3
fácil,3
lançar,3
comprou,3
acabei,3
consegui,3
valendo,3
sugerir,3
fazermos,3
viajar,3
ideal,3
pega,3
fds,3
exatamente,3
beleza,3
descobri,3
ahh,3
espaço,3
parede,3
liberado,3
cidade,3
presidente,3
josé,3
alencar,3
apto,3
primeiro,3
okay,3
geladeira,3
mds,3
juro,3
esquecer,3
arrasou,3
vídeo,3
cadinho,3
original,3
começar,3
livres,3
cinema,3
noção,3
jaee,3
irmã,3
vish,3
irmãos,3
longe,3
pai,3
medo,3
última,3
doutorado,3
maluco,3
mudaram,3
papo,3
kkkkkkkkkkkkkkkkkkkkkk,3
total,3
feito,3
esfirras,3
esquema,3
via,3
ifood,3
apt,3
almoçar,3
nova,3
computação,3
pão,3
levarei,3
desde,3
obrigado,3
acabar,3
kiosque,3
probabilidade,3
jogando,3
cristo,3
açúcar,3
cmg,3
floresta,3
pequeno,3
porra,3
ice,3
kkkkkkkkkkkkkkkkkkkkkkkkkkk,3
kali,3
vodka,3
poo,3
coe,3
recomendo,3
fogo,3
aki,3
sai,3
gin,3
mudar,3
aceito,3
pedaço,3
peço,3
palha,3
tennis,3
tamo,3
entra,3
pilham,3
junina,3
rio2,3
downtown,3
drinks,3
puts,3
dez,3
próxima,3
pras,3
neh,3
certeza,3
alta,3
caramba,3
preferir,3
vezes,3
dois,3
poooo,3
noites,3
caraca,3
deus,3
prox,3
contato,3
esperava,3
contexto,3
topa,3
quiosquinho,3
frio,3
senti,3
jesus,3
kkkkkkkkkkkkkkkkkkkkk,3
cachaça,3
beach,3
momento,3
gamela,3
prov,3
incluso,3
engano,3
outras,3
pqp,3
américa,3
latina,3
dando,3
cachorro,3
quais,3
saiu,3
pseudo,3
custa,3
decidir,3
achando,3
quiosque,3
chovendo,3
outback,3
batata,3
balsa,3
alugar,3
pró,3
bonito,3
prontos,3
assassinato,3
nível,3
tópico,3
war,3
cheio,3
solteiros,3
red,3
depre,3
duvida,3
fate,3
afterglow,3
cruel,3
summer,3
atras,3
3am,3
losing,3
fofa,3
errou,3
alias,3
boy,3
ouvir,3
feat,3
musica,3
criar,3
ata,3
fizemos,3
restrição,3
recebendo,3
fazendo,3
anime,3
queridos,3
mandei,2
namoradas,2
prob,2
eai,2
organizar,2
esquecemos,2
numero,2
coloco,2
coloca,2
evento,2
restrições,2
põe,2
envia,2
whatsapp,2
pfto,2
vmss,2
recebeu,2
fulano,2
avisa,2
merda,2
kakakak,2
discutir,2
sugeriu,2
funciona,2
reservo,2
exclusões,2
evitar,2
secreto,2
oxe,2
obs,2
único,2
achar,2
olho,2
coloquei,2
roubar,2
pessoalmente,2
específico,2
guiar,2
surpresa,2
área,2
sipa,2
cerveja,2
glr,2
paz,2
aproveitando,2
sucesso,2
número,2
resolve,2
true,2
deram,2
gostaria,2
fev,2
princípio,2
supostamente,2
fato,2
precisaria,2
lota,2
suspeito,2
joana,2
avisando,2
pfvr,2
estaria,2
possível,2
comer,2
tamanho,2
xgg,2
imprevisto,2
tbmm,2
toparem,2
bota,2
marcou,2
dinheiro,2
enfim,2
hmmm,2
receber,2
votar,2
paulo,2
putz,2
pera,2
soubesse,2
anterior,2
excesso,2
fimde,2
antecedência,2
intenciono,2
bananinha,2
geladeirinha,2
monocromática,2
lembrado,2
próprio,2
majestic,2
entrada,2
sinto,2
parcialmente,2
presença,2
terem,2
mando,2
algumas,2
atrasado,2
aproveitar,2
safe,2
adepto,2
álcool,2
end,2
tenente,2
coronel,2
muniz,2
aragão,2
aldeia,2
estresse,2
conforme,2
menina,2
sprite,2
danny,2
trabalhando,2
demorar,2
centro,2
ctz,2
mts,2
longo,2
same,2
bizarro,2
acompanhar,2
jansen,2
cell,2
paga,2
afim,2
confirmo,2
quantos,2
calendário,2
melhorass,2
comparecer,2
suco,2
rua,2
conto,2
simplesmente,2
ahhhhh,2
min,2
voltando,2
consegue,2
escuro,2
normal,2
obviamente,2
adoro,2
aonde,2
anima,2
pais,2
almoçado,2
14h,2
concorrido,2
interesse,2
concurso,2
horario,2
confirmados,2
qualquer,2
carne,2
mkkkkkkkkkkk,2
poderei,2
estaremos,2
vlw,2
terminando,2
campari,2
vencido,2
lembrar,2
exploding,2
sorte,2
faltou,2
longa,2
toma,2
café,2
aniversario,2
irmao,2
dom,2
comunidade,2
fresco,2
fazia,2
puro,2
perguntar,2
tijuca,2
laje,2
botânico,2
ahhhh,2
lindo,2
apoio,2
pego,2
fizer,2
acha,2
lage,2
nicolau,2
copernico,2
historico,2
gosta,2
simm,2
chover,2
turismo,2
doces,2
desses,2
topar,2
protetor,2
kerol,2
news,2
acabou,2
lendo,2
perguntei,2
macarrao,2
dito,2
acertar,2
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,2
stitch,2
nipa,2
lgl,2
parecem,2
iam,2
gostar,2
bunny,2
hypo,2
graça,2
preferirem,2
mãe,2
tendi,2
info,2
identificar,2
jamais,2
aniver,2
naquele,2
proximo,2
pse,2
petisco,2
off,2
pertinho,2
pegaram,2
renda,2
eua,2
compromisso,2
agenda,2
chama,2
primeiros,2
especial,2
chegou,2
devia,2
avisado,2
sugeriria,2
cursed,2
partir,2
brancos,2
beto,2
carreiro,2
óbvio,2
argentina,2
gastar,2
tchau,2
seg,2
sanca,2
saudades,2
claro,2
fizeram,2
ido,2
valeu,2
simmmm,2
escolheu,2
pros,2
ahahhahaha,2
frase,2
futebol,2
tbmmm,2
sugiro,2
costa,2
opção,2
queiram,2
gostosinho,2
restaurantes,2
diferentes,2
usando,2
ultimos,2
home,2
fechado,2
brasil,2
gostou,2
remarcar,2
hmm,2
opcao,2
menor,2
5x5,2
fevereiro,2
visto,2
correndo,2
criança,2
cel,2
garoto,2
salvo,2
fcr,2
levamos,2
hambúrguer,2
flnd,2
serio,2
inves,2
vira,2
coroa,2
vejo,2
cadê,2
nerd,2
cantando,2
aham,2
nesses,2
ariana,2
londres,2
fator,2
forte,2
útil,2
marca,2
segundo,2
tomar,2
banho,2
diria,2
perdi,2
mensagens,2
coberto,2
thaigo,2
parou,2
tiro,2
distância,2
aceita,2
cair,2
eita,2
expulsar,2
criancinhas,2
lkkkkkkkkk,2
fofo,2
programa,2
tendo,2
arrumar,2
rodar,2
boliche,2
espumas,2
planejar,2
assassino,2
sabemos,2
bartender,2
adorei,2
mandam,2
play,2
bergamota,2
depende,2
simples,2
lida,2
master,2
detetive,2
fantasia,2
costumam,2
junto,2
chique,2
acoes,2
amava,2
vao,2
ganhar,2
raphael,2
escrito,2
vazou,2
reputation,2
hahahah,2
estragar,2
entregando,2
parecer,2
escutando,2
fearless,2
ttpd,2
evermore,2
segue,2
kkkkkkkkkkkkkkkkkkkk,2
forgot,2
florida,2
costuma,2
álbuns,2
achou,2
mta,2
mes,2
daylight,2
cornelia,2
street,2
false,2
god,2
decidi,2
hmmmm,2
escutar,2
folklore,2
mid,2
great,2
fico,2
hits,2
different,2
sweet,2
nothing,2
your,2
own,2
kid,2
acertou,2
eldest,2
daughter,2
letra,2
forma,2
trab,2
exemplo,2
lavander,2
haze,2
london,2
coitado,2
ouvindo,2
tirada,2
feio,2
exato,2
bigger,2
than,2
sky,2
lana,2
midnight,2
rain,2
estourar,2
apesar,2
glitch,2
escuta,2
clipe,2
médio,2
doido,2
hahahahahah,2
todas,2
albuns,2
rep,2
players,2
prédio,2
otimo,2
microondas,2
sinceramente,2
doo,2
salsicha,2
bomo,2
helloooooo,2
karaoke,2
sorteia,2
única,2
metanol,2
invés,2
cerva,2
sobrar,2
suspiro,2
bombom,2
enfeite,2
sacanagem,2
kkkkkkkkkkkkkkkkkkk,2
oii,2
matar,2
demoraram,2
marcado,2
geralmente,2
votou,2
ansioso,2
março,2
computacao,2
possibilidade,2
conexo,2
perdão,2
control,2
aperto,2
claramente,2
phishing,2
aproveitou,2
anaclarafernande,2
perfume,2
motivo,2
senha,2
insta,2
precisamos,2
nublado,2
capoeira,2
gostamos,2
muitas,2
ansiosa,2
escreve,2
cartão,2
palavras,2
imprimir,2
papel,2
cortar,2
intenção,2
link,1
média,1
participe,1
morde,1
kakakakakakak,1
btw,1
inclui,1
bento,1
algoritimo,1
somente,1
relacionadas,1
tiradas,1
nop,1
baixei,1
pares,1
voltamos,1
vms,1
aquii,1
showw,1
links,1
olá,1
creio,1
minimo,1
máximo,1
suponho,1
reserva,1
usei,1
contava,1
namorado,1
sorteando,1
atende,1
nah,1
catei,1
inf,1
importaria,1
kkke,1
versa,1
excluir,1
please,1
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
presentes,1
último,1
agradar,1
amazon,1
tranquilamente,1
enche,1
caixa,1
colega,1
guysss,1
fiquem,1
vans,1
kkkjjjjkkk,1
deem,1
chinelo,1
tubarão,1
inimigo,1
justísismo,1
complexo,1
genérico,1
teoricamente,1
listas,1
lembra,1
encher,1
facilita,1
embaixo,1
chamada,1
hobbies,1
produto,1
especifico,1
generico,1
bebe,1
sobrou,1
sobrando,1
kkkkkjkkkkkk,1
orçamento,1
novoo,1
potência,1
hélio,1
devolver,1
carregador,1
marcada,1
nele,1
confra,1
plantado,1
porta,1
perguntou,1
viajamos,1
randomico,1
estando,1
acharia,1
fugir,1
confusao,1
região,1
legais,1
ultra,1
mega,1
lotado,1
particularmente,1
desagradável,1
estadia,1
decidirmos,1
impressionante,1
liberada,1
bijuterias,1
alergia,1
compre,1
preferi,1
imaginei,1
aligada,1
reparei,1
ambiguidade,1
acharem,1
válido,1
ajudaria,1
botasse,1
camisa,1
adivinhar,1
surgiu,1
problem,1
novamente,1
susto,1
resenha,1
comprando,1
pilharem,1
postergar,1
vírgula,1
aconteça,1
pressão,1
desculpem,1
resolver,1
entregar,1
rezar,1
menino,1
batom,1
priv,1
ahuqha,1
pls,1
iiisso,1
praticamente,1
volto,1
nacional,1
reunião,1
estadual,1
ajuda,1
permite,1
culpa,1
futuro,1
mantido,1
perdao,1
tentativa,1
hermann,1
